date,mean_temp,max_temp,min_temp,hotter_than_avg,max_temp_higher_than_yearly_mean
2020-01-31,7.554838709677419,9.929032258064517,5.235483870967743,False,False
2020-02-29,8.156896551724138,11.074137931034482,5.320689655172414,False,False
2020-03-31,8.030645161290321,11.938709677419356,4.174193548387097,False,False
2020-04-30,12.353333333333333,18.186666666666667,6.573333333333333,False,True
2020-05-31,15.187096774193549,21.183870967741935,9.248387096774193,True,True
2020-06-30,17.535,22.57,12.58,True,True
2020-07-31,18.633870967741935,23.81451612903226,13.535483870967743,True,True
2020-08-31,20.606451612903225,25.509677419354837,15.738709677419354,True,True
2020-09-30,16.616666666666667,21.69333333333333,11.58,True,True
2020-10-31,11.922580645161291,15.004838709677419,9.038709677419355,False,True
2020-11-30,9.806666666666667,12.636666666666667,7.026666666666667,False,False
2020-12-31,6.232258064516128,8.325806451612904,4.187096774193548,False,False
